name,geometry/lat,geometry/lng,place_id,types/0,types/1,types/2,types/3,types/4,user_ratings_total,vicinity,accident_loc,types_str,types/5,types/6
Al Rowdah Police Station,24.4184307,54.4480749,ChIJiwwpKG1CXj4RD9VKubTHIUo,police,point_of_interest,establishment,,,20,CC9X+96G - Abu Dhabi,شارع 33,police_point_of_interest_establishment,,
Afhad Holding LLC,24.41866,54.440743,ChIJXQT9c7plXj4RphbzYF8RIx4,real_estate_agency,point_of_interest,establishment,,,9,"capital center, Bin Hamoodah Tower",شارع 33,real_estate_agency_point_of_interest_establishment,,
Maї Café,24.4199995,54.441203,ChIJH8NX93NCXj4RVF6S_cmkQXs,bar,cafe,restaurant,food,point_of_interest,6,7 Al Muntada Street - Abu Dhabi,شارع 33,bar_cafe_restaurant_food_point_of_interest_establishment,establishment,
Cups and Mills Cafe,24.4197325,54.4420926,ChIJEYdKujBmXj4RCO_e2fkZZ0Y,cafe,restaurant,food,point_of_interest,store,112,Centre - Al Muntada Street - Abu Dhabi,شارع 33,cafe_restaurant_food_point_of_interest_store_establishment,establishment,
c.taste,24.4178785,54.4409342,ChIJi_F-cnNCXj4RTBk8--rr8Ac,restaurant,food,point_of_interest,establishment,,57,Al Khaleej Al Arabi Street - Abu Dhabi,شارع 33,restaurant_food_point_of_interest_establishment,,
Relax@12,24.4199376,54.4392704,ChIJ7SKRR3RCXj4Rbq3j71gjSEs,night_club,bar,restaurant,food,point_of_interest,160,"Aloft Abu Dhabi Hotel, Khaleej Alarabi Street, Adnec - أبو ظبي",شارع 33,night_club_bar_restaurant_food_point_of_interest_establishment,establishment,
Fresh & Light restaurant TM,24.4205935,54.4432732,ChIJ0xeyKxtDXj4RTe5ycPOeD48,restaurant,food,point_of_interest,establishment,,9,CCCV+68J - Abu Dhabi,شارع 33,restaurant_food_point_of_interest_establishment,,
Kurakura Restaurant,24.418645,54.4429636,ChIJOxsP_6hDXj4R-BMIPbxDaoI,restaurant,food,point_of_interest,establishment,,172,"Capital tower , Ground floor,Abu Dhabi Al khaleej Arabi street, near Adnec",شارع 33,restaurant_food_point_of_interest_establishment,,
Broccoli pizza and pasta capital house,24.4204614,54.4423987,ChIJrZlSamxDXj4RNTo-5uS2xaE,restaurant,food,point_of_interest,establishment,,17,Al Karamah Street - Abu Dhabi,شارع 33,restaurant_food_point_of_interest_establishment,,
The Cheese Shawerma,24.4214331,54.4437327,ChIJYZdP21NDXj4R1VLKERhCAAE,restaurant,food,point_of_interest,establishment,,104,Al Aryaf Building - Tunb Al Kubra Street - Abu Dhabi,شارع 33,restaurant_food_point_of_interest_establishment,,
Costa Coffee - Daman Health,24.418186,54.442907,ChIJCazgSS9DXj4RZmgAgWlUzpc,cafe,restaurant,food,point_of_interest,store,11,Daman Health Insurance Company Bldg - Tunb Al Kubra Street - Abu Dhabi,شارع 33,cafe_restaurant_food_point_of_interest_store_establishment,establishment,
